longitude,latitude,population,hs age,ave rm,ave br,ave occ,income,value
-118.32,34.11,5135,33,1.9,1.1,4,3.2,435700
-118.28,34.01,2305,34,3.3,1.1,3.1,1.7,132000
-118.36,34.01,3140,33,2.6,1,6.8,6.5,350400
-118.41,33.96,412,15,2.3,0.9,3,4,266700
-117.91,34.06,3250,29,2.7,1,6.3,5.1,218300
-118.12,34.14,3420,25,1.8,1,3.6,3.1,217900
-118.19,33.79,3497,29,3.3,1.2,3.8,1.8,137500
-117.89,33.68,2905,26,3,1,5.9,5.1,260300
-117.09,32.99,3215,18,3.2,1.2,6.3,4.6,216800
-122.43,37.71,1508,52,3.7,0.9,5,4,266500
-120.95,35.44,6346,30,2,1.6,7.2,2.7,283600
-119.71,34.36,1706,34,2.6,1.1,7,4.2,364000
-119.61,34.45,3597,33,2.5,1.1,7.5,5.4,500001
-120.45,34.97,1920,25,3.7,1,5,3,129300
-122.6,38.24,2621,16,3.2,1.1,6.8,4.9,198400
-121.67,39.14,2264,22,2.6,1,5.6,3.6,112300
-118.7,34.29,1678,25,3.2,0.9,6.3,6.2,229800
-121.81,38.84,352,37,3.6,1,5.3,2.9,275000
-122.21,37.8,3519,52,2.7,1,5,3.5,187100
-122.14,37.75,690,36,2.7,1,6.3,4,195500
-121.94,37.54,3715,27,3,1,6.9,6.2,305300
-121.94,37.53,2095,33,3.1,1.1,6.9,5.8,259600
-122.03,37.91,5438,29,2.6,1,6.1,5,275300
-119.79,36.77,1610,30,2.5,1,4.1,2,60200
-119.53,36.61,587,33,4.5,1.1,3.6,1.6,55800
-119.55,36.52,1986,31,2.5,1,4.7,3,70200
-118.3,34.11,1954,52,2.7,1,8.2,6.9,500001
-118.29,34.07,492,22,2.4,1,1.9,1.6,300000
-118.26,34.03,299,49,4.2,1.3,4.4,1.2,100000
-118.26,34.01,879,46,4.6,1.1,4,2.2,118300
-118.13,34.15,1119,28,2.3,1,3.5,2.6,125000
-118.06,33.98,1342,42,3,1.2,6.5,5.4,186900
-118.19,33.79,2114,41,4.5,1.2,4,1.8,142600
-118.5,34.02,2924,24,1.6,1.1,3.1,2.8,291700
-121.67,36.58,5892,11,2.9,1,7.3,6.2,291800
-121.45,38.62,2419,38,3.4,1.2,4.8,1.5,63100
-121.32,38.57,692,25,3,0.9,4.1,3.7,101100
-117.08,32.64,917,38,2.1,1.1,3.9,1.9,150000
-116.93,32.85,4116,5,3.1,1.1,4.6,3.1,150000
-117.19,33.14,3652,12,2.3,1.3,5,2.3,92000
-121.26,37.96,940,43,3.8,1.2,5.2,2.3,62300
-121.81,37.31,2731,14,2,1.1,5,3.1,139700
-121.96,37.31,3890,31,2.7,1,5.4,5.3,290900
-121.99,38.48,1824,17,3.1,1.1,6,4.7,250000
-122.25,40.17,1554,47,2.8,1,5.2,1.8,54100
-119.15,34.2,3445,25,6.2,1,3.9,3.1,169300
-122.29,37.83,1121,52,3,1.1,6,3.4,75700
-122.18,37.73,909,42,3.3,1.1,4.6,2.9,80000
-122.33,37.95,1585,45,2.6,0.9,4.3,3,135800
-118.29,34.1,2196,39,2.2,1.1,4.1,2.9,254200
-118.28,34.1,805,48,2.7,1.1,3.4,2.3,200000
-117.99,33.98,8399,18,3.4,1,7.6,7,360400
-118.04,34.06,1258,39,4.3,1.1,5.5,3.2,176100
-118.08,34.15,238,28,4.6,1.9,7.7,0.5,500001
-118.39,34.02,2521,38,1.8,1.1,4.2,4.1,322900
-117.92,33.64,949,5,2,1.2,3.9,2.8,225000
-120.02,39.24,1602,24,2.9,1.7,6.2,1.8,99300
-116.19,33.67,1859,16,4.2,1,3.9,1.7,67500
-117.63,34.07,2650,39,3.1,1,5.4,3.4,106700
-117.15,32.93,2718,16,3.5,1,6.3,5.1,185300
-117.03,32.78,5481,17,1.9,1.1,3.6,2.6,171300
-122.39,37.73,1931,52,3.5,1.1,6.6,2.9,192000
-120.48,35.05,2314,24,3.4,1,5,2.8,152600
-122.36,37.54,6184,23,3.1,1.1,8.8,10.2,500001
-122.07,37.34,1851,30,2.7,1,7.8,10.1,500001
-122.32,41.31,1393,45,2.1,1.2,5.6,1.2,71900
-122.73,38.34,743,44,2.7,1,4.6,2.6,209600
-118.93,36.19,2685,30,1.8,1,5.1,2.6,113900
-118.3,34.25,1442,44,2.9,1,4.9,4.6,197300
-118.16,34.09,3334,36,3.6,1.2,4.2,2.2,170800
-118.27,34.07,786,34,3.9,1.1,2.5,2.3,152100
-118.26,33.94,795,44,4.3,1.1,4.8,2,90300
-118.43,34,2148,30,2.4,1.1,3.8,3.4,324000
-118.3,33.79,1068,21,4.3,1,3.9,2.5,157500
-117.97,34.07,1438,22,4,1.1,4.3,2.8,162500
-118.03,34.11,2076,38,3,1.1,6.3,5.9,416900
-118.11,33.86,1255,35,2.5,0.9,4.5,4.2,226900
-118.13,33.86,1320,45,2.5,1,5.2,4.4,209500
-118.15,33.84,1508,37,2.6,1.1,6.3,3.8,221300
-118.21,34.56,2472,12,2.8,1.1,6.5,4.7,262100
-117.94,33.88,1694,35,2.4,1.1,6,4.3,239300
-117.88,33.63,9565,21,1.7,1.3,5.2,4.7,345400
-121.48,38.62,7709,23,3.3,1,6.1,3.8,96600
-117.63,34.02,4864,13,3.9,1,6.7,5.6,175400
-117.41,34.23,889,17,3.1,0.9,6.3,6.1,155000
-117.08,32.73,3331,36,3.1,1,5.4,3.7,122000
-117.13,32.58,1870,32,2.7,1,4.4,2.3,159400
-122.45,37.67,491,35,2.8,1,5.1,4.4,238600
-120.42,34.96,2069,14,3.7,1,6.1,4.5,149800
-122.48,38.31,2398,19,2.7,1.1,5.1,2.8,186800
-122.72,38.45,1743,41,2.2,1,4.9,3.1,175500
-120.98,37.65,422,40,2.5,1,6.7,7.4,172200
-122.21,37.78,1477,52,4,1.1,5.5,1.8,137000
-122.1,37.65,410,36,3.1,0.9,5,4.5,175000
-119.69,36.81,1524,13,2.7,1,4.1,2.5,93800
-120.42,40.38,1652,26,2.7,1.1,5.9,2.5,85600
-118.42,34.2,3148,24,3.4,1.1,3.8,2,221500
-118.2,34.09,1594,39,4.4,1.1,4.2,2.5,138200
-118.27,34.02,2004,39,4.9,1,3.2,1.9,127300
-118.1,34.09,1460,42,3,1.1,5.4,4.9,227300
-118.1,33.96,1743,40,3.4,1.1,6,3.7,173100
-118.17,33.77,1127,37,1.5,1,3.4,2.7,241700
-123.8,39.44,1533,52,2.2,1,4.5,1.9,95000
-121.66,36.89,2608,15,3.4,1,5.7,5.5,253500
-121.79,36.68,6912,22,2.6,1,4.8,3.1,168300
-117.94,33.93,1475,34,2.4,1.1,5,3.8,186000
-117.47,33.98,12106,8,3.4,1.1,7.1,5,158100
-121.44,38.53,1951,37,2.7,1.1,4.8,2.3,80600
-121.34,38.66,4164,18,2.3,1.1,4.6,2.1,133100
-117.13,32.8,2129,35,3,1.1,6.1,4,174900
-122.5,37.74,1771,45,3.2,1,5.2,3.8,296600
-121.12,35.58,4109,16,2.1,1.3,6.6,3.5,320800
-122.27,37.77,2388,52,2.2,1.1,4.6,3.3,234500
-122.07,37.65,3300,31,3,1.1,4.5,3,161800
-121.97,37.51,3333,25,3.3,1,6.6,5.4,258300
-119.02,35.32,2927,14,3.3,1.1,5.2,3.4,82600
-119.01,35.32,4870,23,2.9,1,5.3,2.6,70000
-118.51,34.27,2276,36,2.4,1,5.4,4.1,252100
-118.58,34.23,3907,29,2.8,1.1,5.4,4.1,230200
-118.26,34.12,1942,52,2.9,1,4.1,2.7,209100
-118.2,34.02,2230,48,4.1,1,3.7,2.4,130700
-117.93,34.06,1022,35,3.4,1,5.5,3.9,187500
-117.94,34.06,3418,32,3.2,1.1,5.5,4,210200
-117.97,34.04,1507,32,4.1,0.9,4.7,4.1,163300
-118.1,34.1,1937,29,3.1,1,4.5,3.8,234600
-118.2,33.92,1283,45,4.1,1,5.2,3.3,141200
-118.07,33.88,2436,18,3.4,1,6.3,6.2,344700
-118.2,33.8,1009,52,2.7,0.9,4.4,4,200800
-118.13,33.77,4365,37,1.9,1.1,5,5.3,360700
-117.7,33.65,3388,16,2.7,1.1,7.3,6.2,355600
-117.9,33.61,1521,41,1.9,1.2,5.5,4.1,500001
-117.95,33.7,5781,17,2.8,1,6.3,5.3,231900
-118.09,33.7,4770,13,2.3,1,4.9,5.9,295100
-121.47,38.53,3215,43,3.8,1.2,5.1,1.5,54400
-117.22,32.85,1647,26,2.7,1,6.4,4.7,274400
-117.06,32.58,2724,17,4,1,4.9,3.9,147700
-117.04,32.72,5474,24,3.3,1.1,6.1,4.1,137000
-119.75,34.43,2982,23,1.7,1.1,3.8,3.4,283200
-121.84,37.29,2937,4,2.7,1,4.4,4.4,160400
-121.9,37.44,4228,12,3.5,1,5.8,6.6,299400
-122.1,37.19,808,18,2.9,0.9,5.6,7.2,273300
-119.21,34.26,2887,23,2.9,1,5.6,3.3,217600
-121.79,38.69,1755,23,3.4,1,5.6,2.9,103100
-122.19,37.76,921,41,3.3,1.3,5.8,1.2,72500
-122.3,37.87,503,10,2.3,1.2,5,2.2,150000
-122.07,37.67,2104,38,2.6,1,5.3,3.9,165300
-119.57,36.72,2510,11,2.8,1,5.6,3.6,99500
-119.52,36.71,1834,21,3.6,1,5.8,2.6,69300
-115.52,33.12,1327,38,3.4,1.1,5.7,1.9,60800
-118.28,33.96,1604,42,4.1,1,4.1,1.8,96700
-117.89,34.09,1811,36,3,1,5.5,5.6,188300
-118.15,34.15,806,49,4.1,1.2,4.7,2.4,137500
-118.09,33.89,1150,42,3.5,1.1,5.6,3.7,171500
-118.32,33.86,495,34,2.9,1,5.3,6.4,252300
-118.4,34.07,2170,22,1.6,1.1,4.2,2.9,500001
-117.87,33.63,6163,9,2.1,1.1,6.8,10.8,500001
-117.34,33.15,4505,17,2,1.1,4.2,3.4,283300
-122.42,37.74,1651,52,2.7,1,4.5,3.5,240900
-120.89,35.37,2046,29,2.1,1.4,5,1.7,227300
-121.06,37.73,2256,5,3.1,1.1,5.7,4.9,155900
-121.72,38.8,1069,36,3,1.2,5.6,2,78400
-121.66,39.66,3502,17,2.9,1.1,5.7,3,101200
-122.18,37.86,4449,33,2.7,1,7.2,9,399700
-115.54,32.99,1697,17,3.6,1.1,6.7,4.4,96000
-118.45,34,1606,43,2.4,1.2,4.5,4,345800
-118.17,34.03,882,42,4.4,1,3.1,2.8,120000
-118.21,33.88,1976,29,3.4,1.2,5.3,2.2,126800
-120.05,36.98,3705,16,3.5,1.1,5.3,2.5,61800
-122.57,37.99,2404,45,2.3,1.1,6,5,320100
-117.87,33.89,1142,25,3.2,1.1,7.6,7.1,270100
-117.86,33.61,3191,15,2.1,1.1,7.1,8.6,500001
-117.9,33.61,2897,19,2.3,1.1,7.9,13.2,500001
-117.19,33.69,6484,3,3.1,1,6,4.6,136400
-117.34,34.16,1606,31,3.1,1.1,4.8,2.2,72700
-117.15,34.05,1442,9,2.8,1,6.3,5,162300
-117.11,32.59,2329,18,2.7,1,4.1,2.1,153100
-122.48,37.73,3195,38,3.1,1.1,4.1,3.1,350000
-122.47,37.79,437,52,2.2,1.2,5,2.8,500001
-121.36,38.03,3461,7,2.1,1.2,4.7,3.6,78700
-120.59,35.12,3055,27,2.3,1.1,5,2.2,179700
-119.78,34.45,2077,23,2.8,1.2,8.1,6.5,500001
-119.69,34.43,2801,37,2.4,1,5.9,5.8,387700
-121.83,37.28,1115,33,4.5,1,4.3,3.9,178600
-122.01,37.26,2561,14,3.1,1.1,6.8,7.6,500001
-119.22,34.34,3128,29,2.8,1,4.8,3,175700
-119.09,34.22,40,8,19.3,0.6,2.5,4,52500
-122.25,37.89,2863,42,2.3,1,6.4,6.7,368600
-119.5,36.74,1089,20,2.5,1,5.1,4.6,106900
-124.14,41.06,1020,32,2.1,1.1,5.2,3,143400
-118.96,35.41,3548,29,2.3,1.1,5.4,2.9,87100
-117.72,34.07,4100,33,3.5,1,5.6,3.7,134200
-122.49,37.85,240,38,1.9,0.9,7.1,12.3,500001
-117.5,33.92,2101,28,3.1,1,6,4.6,146800
-121.36,38.58,3196,25,2.3,1,7.6,8.5,344000
-117.08,33.03,2296,10,2,1.1,5.7,4.3,160600
-122.45,37.71,3131,34,3.7,1.1,5.2,3.6,251000
-122.31,40.45,2596,25,2.8,1,4.7,2,60400
-118.73,34.29,5451,11,3.4,1,7.3,7.4,343900
-122.27,37.85,1974,52,2.4,1.2,5.4,1.6,153600
-119.97,38.94,1485,26,2.3,1.9,8.3,2,84600
-119.89,36.76,1987,17,3.7,1.1,6.4,4.2,126400
-118.43,37.4,2460,19,2.9,1,5.8,4.2,141500
-117.65,35,1184,36,2.8,1.3,4.9,1.9,39800
-118.28,34.08,2465,52,3.1,1,3.3,2.6,203100
-118.38,33.95,3259,35,2.2,1.1,3.5,3.3,400000
-118.03,33.91,4040,32,3.2,1,5.1,3.2,160100
-118.2,33.77,517,42,4.7,1.1,2.4,2.2,106300
-121.51,38.51,2918,33,2.5,1,6.8,5.5,171300
-117.26,32.81,1328,30,1.8,1.1,4.1,2.3,290600
-122.47,37.74,3688,52,2.8,1.1,6.5,5,365600
-121.28,37.97,2348,47,3,1.1,4.9,1.7,66000
-121.26,37.95,819,44,3.7,1,4.5,1.7,59300
-122.46,37.71,1799,45,3.7,1,4.6,3.7,239900
-122.01,38.36,476,15,2.9,0.9,6.5,7.1,315200
-121.74,39.15,2302,20,3,1,5.8,2.8,71200
-122.13,37.69,1131,34,2.4,1.2,4.8,2.9,161700
-122.13,37.67,3592,42,2.4,1.1,5.4,3.2,179900
-121.85,39.74,2901,41,2.3,1.1,4.6,1.6,84500
-119.56,36.7,1195,40,3.6,1,3.8,2.1,58900
-118.28,33.93,529,45,3.7,0.9,4.4,3.6,90600
-118.16,34.19,2076,42,3.8,1.1,4.8,2.2,149200
-118.13,34.17,1784,52,2.8,1.1,5.2,3.6,261500
-118.11,34.1,2012,44,3.2,1,4.4,3.3,226600
-118.09,34.07,794,26,4.2,1.1,4.7,3.2,170800
-118.14,34.01,1973,42,3.7,1,3.9,2.5,156500
-118.08,33.91,1573,18,3.3,1.1,4.3,2.9,146900
-118.31,33.75,2338,34,2.8,1.1,6.3,6.3,396400
-118.22,34.66,3810,17,3.2,1.1,6.5,4.9,152400
-117.67,33.51,1645,18,4.2,1.1,4.6,3.5,126400
-117.86,33.63,3095,17,2.2,1,5.8,5.3,500001
-117.86,33.8,1793,34,3.9,1.1,4.1,2.8,153100
-117.98,33.83,3419,17,3.2,1.2,4.5,3.3,228500
-118.08,33.76,1995,25,1.2,1.1,3.3,1.5,46900
-117.98,33.75,3865,24,3.5,1,5,3.8,180000
-117.43,33.98,2634,21,3.4,1,6.5,4.3,152200
-117.36,34.48,16533,3,3.3,1.1,7.2,4,122100
-117.14,32.96,5949,12,3.8,1,7.6,6.4,241500
-122.45,37.72,1773,47,3.4,1.1,5.6,4.5,221200
-119.72,34.42,1635,37,2.5,1.1,4,3.6,264700
-121.88,37.32,2213,45,3.7,1.1,4.3,3.3,164200
-121.62,39.15,2321,36,2.4,0.9,4.8,3.1,74000
